,address,name_x,distance_sch,name_y,distance_hawker,name_x,distance_cbd,name_y,distance_mrt
0,215 LOR 8 TOA PAYOH,FIRST TOA PAYOH PRIMARY SCHOOL,0.1729296328482451 km,310210,0.18017499477931026 km,city hall mrt,5.413444484559802 km,BRADDELL MRT STATION,0.9373065110627863 km
1,118 LOR 1 TOA PAYOH,RAFFLES GIRLS' SCHOOL (SECONDARY),0.34892556879157605 km,310127,0.16865478919321403 km,city hall mrt,5.226280922191938 km,BRADDELL MRT STATION,0.23416805697077475 km
2,699 HOUGANG ST 52,MONTFORT SECONDARY SCHOOL,0.21860528347310143 km,530209,1.8941356993966283 km,city hall mrt,10.039571981058169 km,HOUGANG MRT STATION,0.6218019415016353 km
3,483 CHOA CHU KANG AVE 5,CONCORD PRIMARY SCHOOL,0.4912524606024469 km,600347,3.4310308565835994 km,city hall mrt,15.727185768634843 km,SOUTH VIEW LRT STATION,0.9750281164349898 km
4,486 ADMIRALTY LINK,NORTHOAKS PRIMARY SCHOOL,0.22129983862493913 km,760105,3.0021190088778194 km,city hall mrt,18.485194054041482 km,SEMBAWANG MRT STATION,0.8878979310073588 km
5,254 COMPASSVALE RD,COMPASSVALE SECONDARY SCHOOL,0.20738875583542002 km,530209,4.178391742705359 km,city hall mrt,12.373252731803232 km,COMPASSVALE LRT STATION,0.08400131924129425 km
6,663A PUNGGOL DR,WATERWAY PRIMARY SCHOOL,0.23222224912641784 km,530209,5.712658988207378 km,city hall mrt,13.867418205207212 km,KADALOOR LRT STATION,0.10018007812871495 km
7,432A YISHUN AVE 1,NORTHBROOKS SECONDARY SCHOOL,0.2687908287140675 km,760105,2.5141504972905184 km,city hall mrt,13.987017090146251 km,KHATIB MRT STATION,1.5794718203074463 km
8,2 HOLLAND AVE,NEW TOWN PRIMARY SCHOOL,1.1860688388453033 km,277700,0.2056337990610138 km,city hall mrt,6.600754055619524 km,HOLLAND VILLAGE MRT STATION,0.28443701257011356 km
9,47 TELOK BLANGAH DR,BLANGAH RISE PRIMARY SCHOOL,0.479438375778721 km,100079,0.31168624160467734 km,city hall mrt,5.262786400034531 km,TELOK BLANGAH MRT STATION,0.14776150663424478 km
10,301 ANG MO KIO AVE 3,ANG MO KIO SECONDARY SCHOOL,0.4172791690209833 km,560341,0.46296025182768163 km,city hall mrt,8.269606804895364 km,ANG MO KIO MRT STATION,0.4920846953386368 km
11,167A PUNGGOL EAST,GREENDALE PRIMARY SCHOOL,0.4197314360464996 km,530209,5.027993888270136 km,city hall mrt,13.155542222981097 km,RIVIERA LRT STATION,0.13378843426987463 km
12,319 WOODLANDS ST 31,FUCHUN SECONDARY SCHOOL,0.09241301608291065 km,738937,1.1868280670442157 km,city hall mrt,17.458317596792828 km,MARSILING MRT STATION,0.38479713879020916 km
13,273 TOH GUAN RD,CREST SECONDARY SCHOOL,0.30283141458612134 km,600254,0.8476768467678714 km,city hall mrt,13.143920526339754 km,BUKIT BATOK MRT STATION,0.8504360110564375 km
14,354 KANG CHING RD,YUAN CHING SECONDARY SCHOOL,0.31499048008004576 km,618499,0.5007339515899518 km,city hall mrt,15.517659016177168 km,LAKESIDE MRT STATION,0.5641089280613557 km
15,804 HOUGANG CTRL,HOLY INNOCENTS' HIGH SCHOOL,0.21862485627662995 km,530209,1.6304012948404014 km,city hall mrt,9.82492824894172 km,HOUGANG MRT STATION,0.23534293959691555 km
16,477 SEMBAWANG DR,CANBERRA PRIMARY SCHOOL,0.12041692332678701 km,760105,2.593540787265017 km,city hall mrt,18.04882848623448 km,SEMBAWANG MRT STATION,0.5137209695287029 km
17,891 TAMPINES AVE 8,SPRINGFIELD SECONDARY SCHOOL,0.09490407981828196 km,521137,1.5613937459107203 km,city hall mrt,10.729427307242544 km,TAMPINES WEST MRT STATION,0.9074385832505925 km
18,219 ANG MO KIO AVE 1,ANG MO KIO SECONDARY SCHOOL,0.22439649599936337 km,568226,0.14339546192240854 km,city hall mrt,8.18539266966803 km,ANG MO KIO MRT STATION,1.0824889070035593 km
19,226 PENDING RD,BUKIT PANJANG PRIMARY SCHOOL,0.37797483469923465 km,588215,3.9774955505219047 km,city hall mrt,12.74803990371537 km,PENDING LRT STATION,0.15651868654984544 km
20,10F BEDOK STH AVE 2,BEDOK GREEN PRIMARY SCHOOL,0.16728268131832513 km,460016,0.24575601438082983 km,city hall mrt,9.936959856064693 km,BEDOK MRT STATION,0.8076354280534893 km
21,529 JELAPANG RD,ZHENGHUA SECONDARY SCHOOL,0.28797835486760753 km,588215,5.292611282428229 km,city hall mrt,14.197506065924127 km,JELAPANG LRT STATION,0.08683466267602279 km
22,108 HOUGANG AVE 1,YUYING SECONDARY SCHOOL,0.4824623514621812 km,530105,0.14478038095942475 km,city hall mrt,7.823176026690104 km,KOVAN MRT STATION,0.9926981359256727 km
23,486A TAMPINES AVE 9,DUNMAN SECONDARY SCHOOL,0.16589928028373344 km,521137,2.1348674380558714 km,city hall mrt,13.809990133477339 km,TAMPINES EAST MRT STATION,0.5043809638324758 km
24,162 YUNG PING RD,JURONG SECONDARY SCHOOL,0.2112064496164004 km,618499,0.5591446579609293 km,city hall mrt,15.07942462005233 km,LAKESIDE MRT STATION,1.6203258335399904 km
25,325C SENGKANG EAST WAY,NAN CHIAU PRIMARY SCHOOL,0.1141677664170169 km,530209,3.8213936165861573 km,city hall mrt,11.899478137805627 km,CHENG LIM LRT STATION,0.43198333209678225 km
26,702 CHOA CHU KANG ST 53,KRANJI PRIMARY SCHOOL,0.27470039596304646 km,600347,5.35760416446676 km,city hall mrt,16.161950425775064 km,YEW TEE MRT STATION,0.6653607512113808 km
27,2D UPP BOON KENG RD,BENDEMEER PRIMARY SCHOOL,1.2390586572929383 km,380017,0.23151798789104075 km,city hall mrt,3.132684006472559 km,KALLANG MRT STATION,0.20832423945821218 km
28,747 YISHUN ST 72,JIEMIN PRIMARY SCHOOL,0.3459593869857751 km,760105,0.7119020064996144 km,city hall mrt,15.109767929576961 km,YISHUN MRT STATION,0.2158751403737106 km
29,324 CLEMENTI AVE 5,PEI TONG PRIMARY SCHOOL,0.20829739356143032 km,120448,0.2637525984690908 km,city hall mrt,9.938017481641051 km,CLEMENTI MRT STATION,0.08448990652820708 km
30,508 ANG MO KIO AVE 8,ANDERSON SECONDARY SCHOOL,0.2875174548456096 km,560724,0.3325005238674142 km,city hall mrt,8.949107761630508 km,ANG MO KIO MRT STATION,0.43045311376750534 km
31,380 CLEMENTI AVE 5,PEI TONG PRIMARY SCHOOL,0.23736094544349545 km,120353,0.5677123316462164 km,city hall mrt,9.869534413392403 km,CLEMENTI MRT STATION,0.45109701473963393 km
32,710 YISHUN AVE 5,YISHUN SECONDARY SCHOOL,0.11201565269143023 km,760105,0.38906348940354046 km,city hall mrt,15.211664090580161 km,YISHUN MRT STATION,0.8173713319730016 km
33,46 LOR 5 TOA PAYOH,PEI CHUN PUBLIC SCHOOL,0.28157271879104173 km,310075,0.05741178972883648 km,city hall mrt,4.813828377255193 km,TOA PAYOH MRT STATION,0.7653714092425457 km
34,605 CLEMENTI WEST ST 1,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,0.25173000014035973 km,120726,0.45400882099655127 km,city hall mrt,9.511486261327352 km,CLEMENTI MRT STATION,1.1000992613846943 km
35,566 CHOA CHU KANG ST 52,KRANJI PRIMARY SCHOOL,0.21239014578355964 km,738937,5.592736525398432 km,city hall mrt,16.36229891872091 km,YEW TEE MRT STATION,0.37191890855921383 km
36,8 BEDOK STH AVE 2,BEDOK GREEN PRIMARY SCHOOL,0.21456621184643335 km,460016,0.2593938210866971 km,city hall mrt,9.859514096010729 km,BEDOK MRT STATION,0.6891362545626082 km
37,204B PUNGGOL FIELD,EDGEFIELD SECONDARY SCHOOL,0.21918423848303628 km,530209,4.776732854292309 km,city hall mrt,12.97937763279292 km,COVE LRT STATION,0.31087616983567495 km
38,553 ANG MO KIO AVE 10,JING SHAN PRIMARY SCHOOL,0.5692436709543613 km,560527,0.3095303365003353 km,city hall mrt,8.824109806002616 km,ANG MO KIO MRT STATION,0.9042551623949595 km
39,242 TAMPINES ST 21,PASIR RIS SECONDARY SCHOOL,0.26555843601678814 km,521137,0.9825466856832055 km,city hall mrt,12.45319655761489 km,TAMPINES MRT STATION,0.18242108376728375 km
40,150 TAMPINES ST 12,TAMPINES PRIMARY SCHOOL,0.1533913002619105 km,521137,0.6347562806945931 km,city hall mrt,11.957259499217725 km,TAMPINES MRT STATION,0.3324940448076 km
41,205 PETIR RD,BUKIT PANJANG PRIMARY SCHOOL,0.5067101805902999 km,588215,3.764240844087691 km,city hall mrt,12.484233275866357 km,PENDING LRT STATION,0.4195528890765047 km
42,263 BOON LAY DR,RIVER VALLEY HIGH SCHOOL,0.24199503122101815 km,642221,0.6790502150325458 km,city hall mrt,17.189916179729142 km,BOON LAY MRT STATION,0.708302940917765 km
43,534 SERANGOON NTH AVE 4,ROSYTH SCHOOL,0.15417020419322344 km,557269,1.4220403324621727 km,city hall mrt,9.315039180642918 km,KOVAN MRT STATION,1.9411196681720524 km
44,720 PASIR RIS ST 72,PARK VIEW PRIMARY SCHOOL,0.5988382880633105 km,521137,4.128863989944021 km,city hall mrt,13.54806987934034 km,PASIR RIS MRT STATION,1.7273606960900885 km
45,302 CLEMENTI AVE 4,NAN HUA PRIMARY SCHOOL,0.5088961739883873 km,120448,0.9319506737679589 km,city hall mrt,10.264044425220689 km,CLEMENTI MRT STATION,0.7515193143867989 km
46,523C TAMPINES CTRL 7,POI CHING SCHOOL,0.47298971625898184 km,521137,1.728064269344247 km,city hall mrt,12.124924570298097 km,TAMPINES MRT STATION,0.7050569216909859 km
47,728 WOODLANDS CIRCLE,ADMIRALTY PRIMARY SCHOOL,0.13107744144855937 km,730021,2.4146489849635246 km,city hall mrt,17.624061852611632 km,ADMIRALTY MRT STATION,0.3457863553277288 km
48,111 SERANGOON NTH AVE 1,SERANGOON GARDEN SECONDARY SCHOOL,0.14940514073641667 km,557269,0.6980625316918331 km,city hall mrt,8.651003202232035 km,KOVAN MRT STATION,1.885054020098922 km
49,116 JURONG EAST ST 13,FUHUA PRIMARY SCHOOL,0.38726546344041574 km,600254,0.537830855260438 km,city hall mrt,14.102297048896748 km,CHINESE GARDEN MRT STATION,0.3725492122538582 km
50,272 BANGKIT RD,GREENRIDGE SECONDARY SCHOOL,0.4797058958113755 km,588215,4.218703888388789 km,city hall mrt,12.774030037550455 km,BANGKIT LRT STATION,0.33615048206900455 km
51,515 JELAPANG RD,WEST SPRING PRIMARY SCHOOL,0.18121928352769218 km,588215,5.478011051459412 km,city hall mrt,14.182098678590284 km,SEGAR LRT STATION,0.2660299194240083 km
52,612 ELIAS RD,ELIAS PARK PRIMARY SCHOOL,0.34602533295580407 km,521137,3.248018935837816 km,city hall mrt,13.441188686838363 km,PASIR RIS MRT STATION,0.823181116009344 km
53,175 BISHAN ST 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,0.15067448677091602 km,310210,0.9751724072605739 km,city hall mrt,6.196158113013589 km,BISHAN MRT STATION,0.572617227919572 km
54,191A RIVERVALE DR,RIVERVALE PRIMARY SCHOOL,0.1250497891431132 km,530209,4.295046083090751 km,city hall mrt,12.503091451887727 km,COMPASSVALE LRT STATION,0.3454002408076983 km
55,269A QUEEN ST,STAMFORD PRIMARY SCHOOL,0.5178032175123393 km,180270,0.07139512607515104 km,city hall mrt,0.8505615721993758 km,BUGIS MRT STATION,0.209053091046282 km
56,606 JURONG WEST ST 65,JURONG WEST PRIMARY SCHOOL,0.14698499743920665 km,642221,1.761452364426424 km,city hall mrt,17.771910572858335 km,PIONEER MRT STATION,0.21760225532679314 km
57,277 TAMPINES ST 22,ANGSANA PRIMARY SCHOOL,0.15666630790748215 km,521137,0.7602665122110799 km,city hall mrt,12.511449303294242 km,SIMEI MRT STATION,0.5099591432068462 km
58,306B ANCHORVALE LINK,ANCHOR GREEN PRIMARY SCHOOL,0.17873574481729063 km,530209,3.3943006964109577 km,city hall mrt,11.423349428762812 km,TONGKANG LRT STATION,0.3120622469044417 km
59,297 YISHUN ST 20,YISHUN PRIMARY SCHOOL,0.3016360995114813 km,760105,0.9250510586095694 km,city hall mrt,15.910986082373878 km,YISHUN MRT STATION,0.7023980130048696 km
60,231 BT BATOK EAST AVE 5,BUKIT VIEW PRIMARY SCHOOL,0.3686675676688623 km,600254,1.9671954924200405 km,city hall mrt,12.556156707216577 km,BUKIT BATOK MRT STATION,0.5484782784057843 km
61,893 TAMPINES AVE 8,SPRINGFIELD SECONDARY SCHOOL,0.12267720008536538 km,521137,1.6388723954419577 km,city hall mrt,10.600592366923635 km,TAMPINES WEST MRT STATION,0.9671968324540022 km
62,405 PASIR RIS DR 6,HAI SING CATHOLIC SCHOOL,0.13477340753074582 km,521137,3.3673920233057895 km,city hall mrt,14.556137711409194 km,PASIR RIS MRT STATION,0.7486818566817088 km
63,109D EDGEDALE PLAINS,MEE TOH SCHOOL,0.10517252917312807 km,530209,4.762525981140538 km,city hall mrt,12.958116717498976 km,MERIDIAN LRT STATION,0.15301768828629073 km
64,702 WEST COAST RD,TANGLIN SECONDARY SCHOOL,0.42452654799073264 km,120726,0.5214513274786677 km,city hall mrt,10.303237461837915 km,CLEMENTI MRT STATION,0.9705730432964773 km
65,253 COMPASSVALE ST,COMPASSVALE SECONDARY SCHOOL,0.24007287018112758 km,530209,4.168324620785067 km,city hall mrt,12.366562969255853 km,COMPASSVALE LRT STATION,0.06367963900707167 km
66,119 TECK WHYE LANE,CHUA CHU KANG SECONDARY SCHOOL,0.46931015826529277 km,600254,4.194304819037729 km,city hall mrt,14.84400804894707 km,KEAT HONG LRT STATION,0.16172571532717314 km
67,649 PUNGGOL CTRL,GREENDALE PRIMARY SCHOOL,0.29913760932964234 km,530209,5.302331150094035 km,city hall mrt,13.458449298776676 km,KADALOOR LRT STATION,0.31136276996257684 km
68,812 YISHUN RING RD,PEIYING PRIMARY SCHOOL,0.19846447192588185 km,760105,1.6769184947485452 km,city hall mrt,13.917776345903635 km,KHATIB MRT STATION,0.09187776114792552 km
69,3B UPP BOON KENG RD,GEYLANG METHODIST SCHOOL (SECONDARY),1.1553106695769328 km,380017,0.15677492195783607 km,city hall mrt,3.264158823712182 km,KALLANG MRT STATION,0.3501876312989411 km
70,315B YISHUN AVE 9,YISHUN TOWN SECONDARY SCHOOL,0.499406812187973 km,760105,1.6083268483657494 km,city hall mrt,15.409667244553946 km,YISHUN MRT STATION,0.885202968397603 km
71,139 POTONG PASIR AVE 3,ST. ANDREW'S JUNIOR SCHOOL,0.234842594574252 km,310022,1.0398735008766216 km,city hall mrt,4.707669437316233 km,POTONG PASIR MRT STATION,0.38825786950469254 km
72,202 CHOA CHU KANG AVE 1,CHUA CHU KANG SECONDARY SCHOOL,0.3074630015355738 km,600254,4.436683603983785 km,city hall mrt,15.110782451455128 km,KEAT HONG LRT STATION,0.360178910274353 km
73,106 BT PURMEI RD,RADIN MAS PRIMARY SCHOOL,0.2702375610819563 km,90036,0.4027032662967179 km,city hall mrt,3.7238055369255734 km,HARBOURFRONT MRT STATION,0.9525372959055068 km
74,479 SEGAR RD,BEACON PRIMARY SCHOOL,0.6388441528979527 km,738937,5.470492058324016 km,city hall mrt,13.906299851980162 km,SEGAR LRT STATION,0.4021855184992856 km
75,100 BEDOK NTH AVE 4,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,0.24845821550098912 km,460085,0.26163202266852453 km,city hall mrt,10.655247578522395 km,BEDOK RESERVOIR MRT STATION,0.7993256330178364 km
76,612 ANG MO KIO AVE 4,YIO CHU KANG SECONDARY SCHOOL,0.4065994413790522 km,560628,0.322010051702062 km,city hall mrt,9.63278132686821 km,YIO CHU KANG MRT STATION,0.7727843663706278 km
77,806 YISHUN RING RD,PEIYING PRIMARY SCHOOL,0.07727347091810947 km,760105,1.6373152157189552 km,city hall mrt,13.949028832233648 km,KHATIB MRT STATION,0.20872094499847174 km
